Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
犬,598,quǎn,hyun2,khién,,ián,2qyoe,けん,けん,けん,,,,,,,,,,,,,,,,,
馬,599,mǎ,maa5,mâ,ma1,,3mo,め,め,ば,,,,,,,,,,,,,,,,,
西,603,xī,sai1,sî,xi1,sai,1xi,さい,さい,せい,,,,,,,,,,,,,,,,,
車,604,chē,ce1,chhâ,ca1,chhia,1tsho,しゃ,しゃ,しゃ,,,,,,,,,,,,,,,,,
酉,650,yǒu,jau5,yu,,iú,,ゆ,ゆ,ゆう,,,,,,,,,,,,,,,,,
月,4427,yuè,jyut6,ngie̍t,ngiad6,,5hhyq,がち,がち,げつ,달|월,,,,,,,,,,,,,,,,
愛,6206,ài,oi3,oi,oi4,ài,2e,あい,あい,あい,,,,,,,,,,,,,,,,,
間,6207,jiān,gaan1,kiên,,,1ke,けん,けん,かん,사이|간,,,,,,,,,,,,,,,,
青,6210,qīng,ceng1,chhiâng,qiang1,,1qin,しょう,しょう,せい,푸르다|푸를|청,,,,,,,,,,,,,,,,
赤,6212,chì,cek3,chhak,,chhiah,4tshaq,しゃく,しゃく,せき,붉다|붉을|적,,,,,,,,,,,,,,,,
秋,6214,qiū,cau1,chhiû,qiu1,chhiu,1qieu,しゅ,しゅ,しゅう,hangeul=추|eumhun=[[가을]]추|ehy=kaulchwu|rv=chu|mr=ch'u|y=chwu,,,,,,,,,,,,,,,,
朝,6217,zhāo,ziu1,chêu,,tiau,1tsau,ちょう,ちょう,ちょう,hangeul=[[조]]|eumhun=[[아침]]|rv=jo|mr=cho|y=co,,,,,,,,,,,,,,,,
蟻,6287,yǐ,ngai5,ngie,,,3nyi,ぎ,ぎ,ぎ,hangeul=의|eumhun=|rv=ui|mr=ŭi|y=uy,,,,,,,,,,,,,,,,
狗,6296,gǒu,gau2,kiéu,gêu3,káu,2keu,く,く,こう,hangeul=구,,,,,,,,,,,,,,,,
猫,6297,,,,,,,みょう,みょう,びょう,,,,,,,,,,,,,,,,,
人,6298,rén,jan4,ngìn,ngin2,,3nyin,にん,にん,じん,사람|인,,,,,,,,,,,,,,,,
水,6300,shuǐ,seoi2,súi,sui3,chúi,2sr,すい,すい,すい,물|수,,,,,,,,,,,,,,,,
蛇,6301,shé,se4,sà,,chôa,3zo,じゃ,じゃ,しゃ,hangeul=[[사]], [[이]],,,,,,,,,,,,,,,
米,6305,mǐ,mai5,mí,mi3,bí,3mi,まい,まい,べい,hangeul=미|eumhun=|mr=mi|y=mi,,,,,,,,,,,,,,,,
零,6351,líng,ling4,làng,lang2,lêng,3lin,りょう,りょう,れい,hangeul=[[령]]→[[영]], [[련]]→[[연]],,,,,,,,,,,,,,,
疒,6732,chuáng,cong4,chhòng,,chhông,,だく,,,병들다|병들|녁||역,,,,,,,,,,,,,,,,
魔,7077,mó,mo1,mô,,mô͘,,ま,ま,ば,마,,,,,,,,,,,,,,,,
城,7079,chéng,sing4,sàng,,siâⁿ,3zen,じょう,じょう,せい,성,,,,,,,,,,,,,,,,
僕,7083,pú,buk6,phuk,pug6,po̍k,5boq,ぼく,ぼく,ほく,복,,,,,,,,,,,,,,,,
君,7085,jūn,gwan1,kiûn,giun1,kun,1jyn,くん,くん,くん,임금|군,,,,,,,,,,,,,,,,
今,7094,jīn,gam1,kîm,,kin,1jin,こん,こん,きん,,,,,,,,,,,,,,,,,
損,7174,sǔn,syun2,sún,,sún,,そん,そん,そん,손,,,,,,,,,,,,,,,,
空,7175,kōng,hung1,khûng,,ang,1khon,く,く,こう,비다|빌|공,,,,,,,,,,,,,,,,
底,7176,dǐ,dai2,tái,,,2ti,たい,たい,てい,hangeul=[[저]], [[지]]|rv=jeo, ji|mr=chŏ, chi,,,,,,,,,,,,,
象,7183,xiàng,zoeng6,siong,,,3xxian,ぞう,ぞう,しょう,상,,,,,,,,,,,,,,,,
層,7185,céng,cang4,chhèn,,chn̂g,3zen,ぞう,ぞう,そう,층,,,,,,,,,,,,,,,,
