,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
0,犬,598.0,quǎn,hyun2,khién,,ián,2qyoe,けん,けん,けん,,,,,,,,,,,,,,,,,
1,馬,599.0,mǎ,maa5,mâ,ma1,,3mo,め,め,ば,,,,,,,,,,,,,,,,,
2,西,603.0,xī,sai1,sî,xi1,sai,1xi,さい,さい,せい,,,,,,,,,,,,,,,,,
3,車,604.0,chē,ce1,chhâ,ca1,chhia,1tsho,しゃ,しゃ,しゃ,,,,,,,,,,,,,,,,,
4,酉,650.0,yǒu,jau5,yu,,iú,,ゆ,ゆ,ゆう,,,,,,,,,,,,,,,,,
5,月,4427.0,yuè,jyut6,ngie̍t,ngiad6,,5hhyq,がち,がち,げつ,달|월,,,,,,,,,,,,,,,,
6,愛,6206.0,ài,oi3,oi,oi4,ài,2e,あい,あい,あい,,,,,,,,,,,,,,,,,
7,間,6207.0,jiān,gaan1,kiên,,,1ke,けん,けん,かん,사이|간,,,,,,,,,,,,,,,,
8,青,6210.0,qīng,ceng1,chhiâng,qiang1,,1qin,しょう,しょう,せい,푸르다|푸를|청,,,,,,,,,,,,,,,,
9,赤,6212.0,chì,cek3,chhak,,chhiah,4tshaq,しゃく,しゃく,せき,붉다|붉을|적,,,,,,,,,,,,,,,,
10,秋,6214.0,qiū,cau1,chhiû,qiu1,chhiu,1qieu,しゅ,しゅ,しゅう,hangeul=추|eumhun=[[가을]]추|ehy=kaulchwu|rv=chu|mr=ch'u|y=chwu,,,,,,,,,,,,,,,,
11,朝,6217.0,zhāo,ziu1,chêu,,tiau,1tsau,ちょう,ちょう,ちょう,hangeul=[[조]]|eumhun=[[아침]]|rv=jo|mr=cho|y=co,,,,,,,,,,,,,,,,
12,蟻,6287.0,yǐ,ngai5,ngie,,,3nyi,ぎ,ぎ,ぎ,hangeul=의|eumhun=|rv=ui|mr=ŭi|y=uy,,,,,,,,,,,,,,,,
13,狗,6296.0,gǒu,gau2,kiéu,gêu3,káu,2keu,く,く,こう,hangeul=구,,,,,,,,,,,,,,,,
14,猫,6297.0,,,,,,,みょう,みょう,びょう,,,,,,,,,,,,,,,,,
15,人,6298.0,rén,jan4,ngìn,ngin2,,3nyin,にん,にん,じん,사람|인,,,,,,,,,,,,,,,,
16,水,6300.0,shuǐ,seoi2,súi,sui3,chúi,2sr,すい,すい,すい,물|수,,,,,,,,,,,,,,,,
17,蛇,6301.0,shé,se4,sà,,chôa,3zo,じゃ,じゃ,しゃ,hangeul=[[사]], [[이]],,,,,,,,,,,,,,,
18,米,6305.0,mǐ,mai5,mí,mi3,bí,3mi,まい,まい,べい,hangeul=미|eumhun=|mr=mi|y=mi,,,,,,,,,,,,,,,,
19,零,6351.0,líng,ling4,làng,lang2,lêng,3lin,りょう,りょう,れい,hangeul=[[령]]→[[영]], [[련]]→[[연]],,,,,,,,,,,,,,,
20,疒,6732.0,chuáng,cong4,chhòng,,chhông,,だく,,,병들다|병들|녁||역,,,,,,,,,,,,,,,,
21,魔,7077.0,mó,mo1,mô,,mô͘,,ま,ま,ば,마,,,,,,,,,,,,,,,,
22,城,7079.0,chéng,sing4,sàng,,siâⁿ,3zen,じょう,じょう,せい,성,,,,,,,,,,,,,,,,
23,僕,7083.0,pú,buk6,phuk,pug6,po̍k,5boq,ぼく,ぼく,ほく,복,,,,,,,,,,,,,,,,
24,君,7085.0,jūn,gwan1,kiûn,giun1,kun,1jyn,くん,くん,くん,임금|군,,,,,,,,,,,,,,,,
25,今,7094.0,jīn,gam1,kîm,,kin,1jin,こん,こん,きん,,,,,,,,,,,,,,,,,
