Unnamed: 0,Column1,Column2,mand_pron,mand_tone,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,kor_0,kor_1,kor_2
0,犬,598.0,quan,3,hyun2,khién,,ián,2qyoe,けん,けん,けん,ㄱ,ㅕ,ㄴ
1,馬,599.0,ma,3,maa5,mâ,ma1,,3mo,め,め,ば,ㅁ,ㅏ,
2,西,603.0,xi,1,sai1,sî,xi1,sai,1xi,さい,さい,せい,ㅅ,ㅓ,
3,車,604.0,che,1,ce1,chhâ,ca1,chhia,1tsho,しゃ,しゃ,しゃ,ㅊ,ㅏ,
4,酉,650.0,you,3,jau5,yu,,iú,,ゆ,ゆ,ゆう,ㅇ,ㅠ,
5,月,4427.0,yue,4,jyut6,ngie̍t,ngiad6,,5hhyq,がち,がち,げつ,ㅇ,ㅝ,ㄹ
6,愛,6206.0,ai,4,oi3,oi,oi4,ài,2e,あい,あい,あい,ㅇ,ㅐ,
7,間,6207.0,jian,1,gaan1,kiên,,,1ke,けん,けん,かん,ㄱ,ㅏ,ㄴ
8,青,6210.0,qing,1,ceng1,chhiâng,qiang1,,1qin,しょう,しょう,せい,ㅊ,ㅓ,ㅇ
9,赤,6212.0,chi,4,cek3,chhak,,chhiah,4tshaq,しゃく,しゃく,せき,ㅈ,ㅓ,ㄱ
10,秋,6214.0,qiu,1,cau1,chhiû,qiu1,chhiu,1qieu,しゅ,しゅ,しゅう,ㅊ,ㅜ,
11,朝,6217.0,zhao,1,ziu1,chêu,,tiau,1tsau,ちょう,ちょう,ちょう,ㅈ,ㅗ,
12,蟻,6287.0,yi,3,ngai5,ngie,,,3nyi,ぎ,ぎ,ぎ,ㅇ,ㅢ,
13,狗,6296.0,gou,3,gau2,kiéu,gêu3,káu,2keu,く,く,こう,ㄱ,ㅜ,
14,猫,6297.0,,,,,,,,みょう,みょう,びょう,ㅁ,ㅛ,
15,人,6298.0,ren,2,jan4,ngìn,ngin2,,3nyin,にん,にん,じん,ㅇ,ㅣ,ㄴ
16,水,6300.0,shui,3,seoi2,súi,sui3,chúi,2sr,すい,すい,すい,ㅅ,ㅜ,
17,蛇,6301.0,she,2,se4,sà,,chôa,3zo,じゃ,じゃ,しゃ,ㅅ,ㅏ,
18,米,6305.0,mi,3,mai5,mí,mi3,bí,3mi,まい,まい,べい,ㅁ,ㅣ,
19,零,6351.0,ling,2,ling4,làng,lang2,lêng,3lin,りょう,りょう,れい,ㄹ,ㅕ,ㅇ
20,疒,6732.0,chuang,2,cong4,chhòng,,chhông,,だく,,,ㄴ,ㅕ,ㄱ
21,魔,7077.0,mo,2,mo1,mô,,mô͘,,ま,ま,ば,ㅁ,ㅏ,
22,城,7079.0,cheng,2,sing4,sàng,,siâⁿ,3zen,じょう,じょう,せい,ㅅ,ㅓ,ㅇ
23,僕,7083.0,pu,2,buk6,phuk,pug6,po̍k,5boq,ぼく,ぼく,ほく,ㅂ,ㅗ,ㄱ
24,君,7085.0,jun,1,gwan1,kiûn,giun1,kun,1jyn,くん,くん,くん,ㄱ,ㅜ,ㄴ
25,今,7094.0,jin,1,gam1,kîm,,kin,1jin,こん,こん,きん,ㄱ,ㅡ,ㅁ
26,損,7174.0,sun,3,syun2,sún,,sún,,そん,そん,そん,ㅅ,ㅗ,ㄴ
27,空,7175.0,kong,1,hung1,khûng,,ang,1khon,く,く,こう,ㄱ,ㅗ,ㅇ
28,底,7176.0,di,3,dai2,tái,,,2ti,たい,たい,てい,ㅈ,ㅓ,
29,象,7183.0,xiang,4,zoeng6,siong,,,3xxian,ぞう,ぞう,しょう,ㅅ,ㅏ,ㅇ
30,層,7185.0,ceng,2,cang4,chhèn,,chn̂g,3zen,ぞう,ぞう,そう,ㅊ,ㅡ,ㅇ
31,士,7196.0,shi,4,si6,sṳ,si4,,3zr,じ,じ,し,ㅅ,ㅏ,
32,千,7263.0,qian,1,cin1,chhiên,,,1qi,せん,せん,せん,ㅊ,ㅓ,ㄴ
33,十,7267.0,shi,2,sap6,sṳ̍p,seb6,cha̍p,5zeq,じゅう,じゅう,しゅう,ㅅ,ㅣ,ㅂ
34,億,7269.0,yi,4,jik1,yi,yi4,,3hhi,おく,おく,よく,ㅇ,ㅓ,ㄱ
35,丨,8132.0,gun,3,gwan2,kun,,kún,,こん,こん,こん,ㄱ,ㅗ,ㄴ
36,丶,8139.0,zhu,3,jyu2,chú,,chú,,ちゅう,,,ㅈ,ㅜ,
37,丿,8140.0,pie,3,pit3,phiet,,iat,,へち,へち,へつ,ㅂ,ㅕ,ㄹ
38,乙,8141.0,yi,3,jyut3,yet,,it,4iq,おつ,おつ,いつ,ㅇ,ㅡ,ㄹ
39,亅,8142.0,jue,2,kyut3,khiet,,koa̍t,,がち,がち,けつ,ㄱ,ㅝ,ㄹ
40,二,8143.0,er,4,ji6,ngi,ngi4,,3nyi,に,に,じ,ㅇ,ㅣ,
41,入,8146.0,ru,4,jap6,ngi̍p,,,5zeq,にゅう,にゅう,じゅう,ㅇ,ㅣ,ㅂ
42,八,8147.0,ba,1,baat3,pat,,,4paq,はち,はち,はつ,ㅍ,ㅏ,ㄹ
43,冂,8269.0,jiong,1,gwing1,koén,,keng,,きょう,きょう,けい,ㄱ,ㅕ,ㅇ
44,冫,8319.0,bing,1,bing1,pên,,peng,,ひょう,ひょう,ひょう,ㅂ,ㅣ,ㅇ
45,丁,8320.0,ding,1,ding1,tên,,teng,1tin,ちょう,ちょう,てい,ㅈ,ㅓ,ㅇ
46,村,8357.0,cun,1,cyun1,chhûn,,chhun,1tshen,そん,そん,そん,ㅊ,ㅗ,ㄴ
47,激,8628.0,ji,1,gik1,kie̍p,,,4jiq,きゃく,きゃく,けき,ㄱ,ㅕ,ㄱ
48,闘,8630.0,,,,,,,,つ,つ,とう,ㅌ,ㅜ,
49,界,8632.0,jie,4,gaai3,kie,,kài,,け,け,かい,ㄱ,ㅖ,
50,章,8635.0,zhang,1,zoeng1,chông,,,1tsaan,しょう,しょう,しょう,ㅈ,ㅏ,ㅇ
51,編,8637.0,bian,1,pin1,phiên,,ian,1pi,へん,へん,へん,ㅍ,ㅕ,ㄴ
52,神,8639.0,shen,2,san4,sṳ̀n,,sîn,3zen,じん,じん,しん,ㅅ,ㅣ,ㄴ
53,三,8650.0,san,1,saam1,sâm,sam1,saⁿ,1se,さん,さん,さん,ㅅ,ㅏ,ㅁ
54,四,8651.0,si,4,sei3,si,xi4,,2sr,し,し,し,ㅅ,ㅏ,
55,五,8652.0,wu,3,ng5,ńg,n3,,3hhngg,ご,ご,ご,ㅇ,ㅗ,
56,六,8653.0,liu,4,luk6,liuk,liug5,la̍k,5loq,ろく,ろく,りく,ㄹ,ㅠ,ㄱ
57,七,8654.0,qi,1,cat1,chhit,,chhit,4qiq,しち,しち,しつ,ㅊ,ㅣ,ㄹ
58,九,8655.0,jiu,3,gau2,kiú,giu3,káu,2jieu,く,く,きゅう,ㄱ,ㅜ,
59,万,8656.0,mo,4,mak6,,,,,もん,もん,ばん,ㅁ,ㅏ,ㄴ
60,最,8677.0,zui,4,zeoi3,chui,,chòe,2tsoe,さい,さい,さい,ㅊ,ㅚ,
61,近,8683.0,jin,4,kan5,khiun,,,3jjin,ごん,ごん,きん,ㄱ,ㅡ,ㄴ
62,n,8698.0,en,1,en1,,,,,,,,,,
63,烈,8715.0,lie,4,lit6,lie̍t,,lia̍t,,れち,れち,れつ,ㄹ,ㅕ,ㄹ
64,造,8732.0,zao,4,zou6,chho,,,3zau,ぞう,ぞう,そう,ㅈ,ㅗ,
65,刀,8840.0,dao,1,dou1,tô,,to,1tau,と,と,とう,ㄷ,ㅗ,
66,萬,8867.0,wan,4,maan6,van,van4,bān,3me,もん,もん,ばん,ㅁ,ㅏ,ㄴ
67,何,8945.0,he,2,ho4,hò,,hô,3hhu,が,が,か,ㅎ,ㅏ,
68,心,9067.0,xin,1,sam1,sîm,,sim,1xin,しん,しん,しん,ㅅ,ㅣ,ㅁ
69,日,9296.0,ri,4,jat6,ngit,ngid5,,5nyiq,にち,にち,じつ,ㅇ,ㅣ,ㄹ
70,白,9302.0,bai,2,baak6,pha̍k,pag6,,5baq,びゃく,びゃく,はく,ㅂ,ㅐ,ㄱ
71,年,9307.0,nian,2,nin4,ngièn,ngian2,nî,3nyi,ねん,ねん,でん,ㄴ,ㅕ,ㄴ
72,曜,9308.0,yao,4,jiu6,,,iāu,,よう,よう,よう,ㅇ,ㅛ,
73,南,9311.0,nan,2,naam4,nàm,,lâm,3noe,なん,なん,だん,ㄴ,ㅏ,ㅁ
74,東,9312.0,dong,1,dung1,tûng,,tang,1ton,つう,つう,とう,ㄷ,ㅗ,ㅇ
75,北,9313.0,bei,3,bak1,pet,,pak,4poq,ほく,ほく,ほく,ㅂ,ㅜ,ㄱ
