,character,wiki_id,mando_onset,mando_nucl,mando_coda,mando_tone,canto_onset,canto_nucl,canto_coda,canto_tone,Column5,Column6,Column7,Column8,jp_on_first,jp_on_rest,jp_kan_first,jp_kan_rest,kor_0,kor_1,kor_2
0,犬,598,q,ua,n,3,h,yu,n,2,khién,,ián,2qyoe,け,ん,け,ん,ㄱ,ㅕ,ㄴ
1,馬,599,m,a,∅,3,m,aa,∅,5,mâ,ma1,,3mo,め,∅,ば,∅,ㅁ,ㅏ,∅
2,西,603,x,i,∅,1,s,ai,∅,1,sî,xi1,sai,1xi,さ,い,せ,い,ㅅ,ㅓ,∅
3,車,604,ch,e,∅,1,c,e,∅,1,chhâ,ca1,chhia,1tsho,しゃ,∅,しゃ,∅,ㅊ,ㅏ,∅
4,酉,650,∅,you,∅,3,j,au,∅,5,yu,,iú,,ゆ,∅,ゆ,う,ㅇ,ㅠ,∅
5,月,4427,∅,yue,∅,4,j,yu,t,6,ngie̍t,ngiad6,,5hhyq,が,ち,げ,つ,ㅇ,ㅝ,ㄹ
6,愛,6206,∅,ai,∅,4,∅,oi,∅,3,oi,oi4,ài,2e,あ,い,あ,い,ㅇ,ㅐ,∅
7,間,6207,j,ia,n,1,g,aa,n,1,kiên,,,1ke,け,ん,か,ん,ㄱ,ㅏ,ㄴ
8,青,6210,q,i,ng,1,c,e,ng,1,chhiâng,qiang1,,1qin,しょ,う,せ,い,ㅊ,ㅓ,ㅇ
9,赤,6212,ch,i,∅,4,c,e,k,3,chhak,,chhiah,4tshaq,しゃ,く,せ,き,ㅈ,ㅓ,ㄱ
10,秋,6214,q,iu,∅,1,c,au,∅,1,chhiû,qiu1,chhiu,1qieu,しゅ,∅,しゅ,う,ㅊ,ㅜ,∅
11,朝,6217,zh,ao,∅,1,z,iu,∅,1,chêu,,tiau,1tsau,ちょ,う,ちょ,う,ㅈ,ㅗ,∅
12,蟻,6287,∅,yi,∅,3,ng,ai,∅,5,ngie,,,3nyi,ぎ,∅,ぎ,∅,ㅇ,ㅢ,∅
13,狗,6296,g,ou,∅,3,g,au,∅,2,kiéu,gêu3,káu,2keu,く,∅,こ,う,ㄱ,ㅜ,∅
14,猫,6297,,,,,,,,,,,,,みょ,う,びょ,う,ㅁ,ㅛ,∅
15,人,6298,r,e,n,2,j,a,n,4,ngìn,ngin2,,3nyin,に,ん,じ,ん,ㅇ,ㅣ,ㄴ
16,水,6300,sh,ui,∅,3,s,eoi,∅,2,súi,sui3,chúi,2sr,す,い,す,い,ㅅ,ㅜ,∅
17,蛇,6301,sh,e,∅,2,s,e,∅,4,sà,,chôa,3zo,じゃ,∅,しゃ,∅,ㅅ,ㅏ,∅
18,米,6305,m,i,∅,3,m,ai,∅,5,mí,mi3,bí,3mi,ま,い,べ,い,ㅁ,ㅣ,∅
19,零,6351,l,i,ng,2,l,i,ng,4,làng,lang2,lêng,3lin,りょ,う,れ,い,ㄹ,ㅕ,ㅇ
20,疒,6732,ch,ua,ng,2,c,o,ng,4,chhòng,,chhông,,だ,く,,,ㄴ,ㅕ,ㄱ
21,魔,7077,m,o,∅,2,m,o,∅,1,mô,,mô͘,,ま,∅,ば,∅,ㅁ,ㅏ,∅
22,城,7079,ch,e,ng,2,s,i,ng,4,sàng,,siâⁿ,3zen,じょ,う,せ,い,ㅅ,ㅓ,ㅇ
23,僕,7083,p,u,∅,2,b,u,k,6,phuk,pug6,po̍k,5boq,ぼ,く,ほ,く,ㅂ,ㅗ,ㄱ
24,君,7085,j,u,n,1,gw,a,n,1,kiûn,giun1,kun,1jyn,く,ん,く,ん,ㄱ,ㅜ,ㄴ
25,今,7094,j,i,n,1,g,a,m,1,kîm,,kin,1jin,こ,ん,き,ん,ㄱ,ㅡ,ㅁ
26,損,7174,s,u,n,3,s,yu,n,2,sún,,sún,,そ,ん,そ,ん,ㅅ,ㅗ,ㄴ
27,空,7175,k,o,ng,1,h,u,ng,1,khûng,,ang,1khon,く,∅,こ,う,ㄱ,ㅗ,ㅇ
28,底,7176,d,i,∅,3,d,ai,∅,2,tái,,,2ti,た,い,て,い,ㅈ,ㅓ,∅
29,象,7183,x,ia,ng,4,z,oe,ng,6,siong,,,3xxian,ぞ,う,しょ,う,ㅅ,ㅏ,ㅇ
30,層,7185,c,e,ng,2,c,a,ng,4,chhèn,,chn̂g,3zen,ぞ,う,そ,う,ㅊ,ㅡ,ㅇ
31,士,7196,sh,i,∅,4,s,i,∅,6,sṳ,si4,,3zr,じ,∅,し,∅,ㅅ,ㅏ,∅
32,千,7263,q,ia,n,1,c,i,n,1,chhiên,,,1qi,せ,ん,せ,ん,ㅊ,ㅓ,ㄴ
33,十,7267,sh,i,∅,2,s,a,p,6,sṳ̍p,seb6,cha̍p,5zeq,じゅ,う,しゅ,う,ㅅ,ㅣ,ㅂ
34,億,7269,∅,yi,∅,4,j,i,k,1,yi,yi4,,3hhi,お,く,よ,く,ㅇ,ㅓ,ㄱ
35,丨,8132,g,u,n,3,gw,a,n,2,kun,,kún,,こ,ん,こ,ん,ㄱ,ㅗ,ㄴ
36,丶,8139,zh,u,∅,3,j,yu,∅,2,chú,,chú,,ちゅ,う,,,ㅈ,ㅜ,∅
37,丿,8140,p,ie,∅,3,p,i,t,3,phiet,,iat,,へ,ち,へ,つ,ㅂ,ㅕ,ㄹ
38,乙,8141,∅,yi,∅,3,j,yu,t,3,yet,,it,4iq,お,つ,い,つ,ㅇ,ㅡ,ㄹ
39,亅,8142,j,ue,∅,2,k,yu,t,3,khiet,,koa̍t,,が,ち,け,つ,ㄱ,ㅝ,ㄹ
40,二,8143,,er,,4,j,i,∅,6,ngi,ngi4,,3nyi,に,∅,じ,∅,ㅇ,ㅣ,∅
41,入,8146,r,u,∅,4,j,a,p,6,ngi̍p,,,5zeq,にゅ,う,じゅ,う,ㅇ,ㅣ,ㅂ
42,八,8147,b,a,∅,1,b,aa,t,3,pat,,,4paq,は,ち,は,つ,ㅍ,ㅏ,ㄹ
43,冂,8269,j,io,ng,1,gw,i,ng,1,koén,,keng,,きょ,う,け,い,ㄱ,ㅕ,ㅇ
44,冫,8319,b,i,ng,1,b,i,ng,1,pên,,peng,,ひょ,う,ひょ,う,ㅂ,ㅣ,ㅇ
45,丁,8320,d,i,ng,1,d,i,ng,1,tên,,teng,1tin,ちょ,う,て,い,ㅈ,ㅓ,ㅇ
46,村,8357,c,u,n,1,c,yu,n,1,chhûn,,chhun,1tshen,そ,ん,そ,ん,ㅊ,ㅗ,ㄴ
47,激,8628,j,i,∅,1,g,i,k,1,kie̍p,,,4jiq,きゃ,く,け,き,ㄱ,ㅕ,ㄱ
48,闘,8630,,,,,,,,,,,,,つ,∅,と,う,ㅌ,ㅜ,∅
49,界,8632,j,ie,∅,4,g,aai,∅,3,kie,,kài,,け,∅,か,い,ㄱ,ㅖ,∅
50,章,8635,zh,a,ng,1,z,oe,ng,1,chông,,,1tsaan,しょ,う,しょ,う,ㅈ,ㅏ,ㅇ
51,編,8637,b,ia,n,1,p,i,n,1,phiên,,ian,1pi,へ,ん,へ,ん,ㅍ,ㅕ,ㄴ
52,神,8639,sh,e,n,2,s,a,n,4,sṳ̀n,,sîn,3zen,じ,ん,し,ん,ㅅ,ㅣ,ㄴ
53,三,8650,s,a,n,1,s,aa,m,1,sâm,sam1,saⁿ,1se,さ,ん,さ,ん,ㅅ,ㅏ,ㅁ
54,四,8651,s,i,∅,4,s,ei,∅,3,si,xi4,,2sr,し,∅,し,∅,ㅅ,ㅏ,∅
55,五,8652,∅,wu,∅,3,∅,ng,∅,5,ńg,n3,,3hhngg,ご,∅,ご,∅,ㅇ,ㅗ,∅
56,六,8653,l,iu,∅,4,l,u,k,6,liuk,liug5,la̍k,5loq,ろ,く,り,く,ㄹ,ㅠ,ㄱ
57,七,8654,q,i,∅,1,c,a,t,1,chhit,,chhit,4qiq,し,ち,し,つ,ㅊ,ㅣ,ㄹ
58,九,8655,j,iu,∅,3,g,au,∅,2,kiú,giu3,káu,2jieu,く,∅,きゅ,う,ㄱ,ㅜ,∅
59,万,8656,m,o,∅,4,m,a,k,6,,,,,も,ん,ば,ん,ㅁ,ㅏ,ㄴ
