character	index	tone_label	Zhengzhang_onset	Zhengzhang_nucleus	Zhengzhang_coda	Pan_onset	Pan_nucleus	Pan_coda	Shao_onset	Shao_nucleus	Shao_coda	Pulleyblank_onset	Pulleyblank_nucleus	Pulleyblank_coda	Li_onset	Li_nucleus	Li_coda	Karlgren_onset	Karlgren_nucleus	Karlgren_coda
一	5611001	checked	ʔ	iɪ	t̚	ʔ	i	t̚	ʔ	je	t̚	ʔ	i	t̚	ʔ	iĕ	t̚	ʔ	i̯ĕ	t̚
丁	5611004	level	ʈ	ˠɛ	ŋ	ʈ	ᵚæ	ŋ	ȶ	ɐ	ŋ	ʈ	əɨj	ŋ	ȶ	ɛ	ŋ	ȶ	æ	ŋ
丂	5611009	rising	kʰ	ɑu	∅	kʰ	ɑu	∅	kʰ	ɑu	∅	kʰ	aw	∅	kʰ	ɑu	∅	kʰ	ɑu	∅
七	5611012	checked	t͡sʰ	iɪ	t̚	t͡sʰ	i	t̚	t͡sʰ	je	t̚	t͡sʰ	i	t̚	t͡sʰ	iĕ	t̚	t͡sʰ	i̯ĕ	t̚
丄	5611016	rising	d͡ʑ	ɨɐ	ŋ	d͡ʑ	iɐ	ŋ	d͡ʑ	iɑ	ŋ	d͡ʑ	ɨa	ŋ	ʑ	ia	ŋ	ʑ	i̯a	ŋ
丅	5611020	rising	ɦ	ˠa	∅	ɦ	ᵚa	∅	ɣ	a	∅	ɦ	aɨ	∅	ɣ	a	∅	ɣ	a	∅
万	5611023	departing	m	ʉɐ	n	m	ʷiɐ	n	m	iuɐ	n	m	ua	n	m	iuɐ	n	m	i̯wɐ	n
丈	5611026	rising	ɖ	ɨɐ	ŋ	ɖ	iɐ	ŋ	ȡ	iɑ	ŋ	ɖ	ɨa	ŋ	ȡ	ia	ŋ	ȡʱ	i̯a	ŋ
三	5611031	level	s	ɑ	m	s	ɑ	m	s	ɑ	m	s	a	m	s	ɑ	m	s	ɑ	m
上	5611034	rising	d͡ʑ	ɨɐ	ŋ	d͡ʑ	iɐ	ŋ	d͡ʑ	iɑ	ŋ	d͡ʑ	ɨa	ŋ	ʑ	ia	ŋ	ʑ	i̯a	ŋ
下	5611038	rising	ɦ	ˠa	∅	ɦ	ᵚa	∅	ɣ	a	∅	ɦ	aɨ	∅	ɣ	a	∅	ɣ	a	∅
不	5611042	level	p	ɨu	∅	p	iu	∅	p	iəu	∅	p	uw	∅	p	iu	∅	p	i̯ə̯u	∅
与	5611045	rising	j	ɨʌ	∅	j	iɔ	∅	∅	iɔ	∅	j	ɨə	̆	∅	iɔ	∅	∅	i̯wo	∅
丏	5611049	rising	m	e	n	m	e	n	m	ɛ	n	m	ɛ	n	m	e	n	m	ie	n
丐	5611052	departing	k	ɑi	∅	k	ɑi	∅	k	ɑi	∅	k	aj	∅	k	ɑi	∅	k	ɑi	∅
丑	5611055	rising	ʈʰ	ɨu	∅	ʈʰ	iu	∅	ȶʰ	iəu	∅	ʈʰ	uw	∅	ȶʰ	iu	∅	ȶʰ	i̯ə̯u	∅
丗	5611059	departing	ɕ	iᴇi	∅	ɕ	iɛi	∅	ɕ	jæi	∅	ɕ	iaj	∅	ɕ	iɛi	∅	ɕ	i̯ɛi	∅
且	5611062	level	t͡s	ɨʌ	∅	t͡s	iɔ	∅	t͡s	iɔ	∅	t͡s	ɨə	̆	t͡s	iɔ	∅	t͡s	i̯wo	∅
丕	5611066	level	pʰ	ˠiɪ	∅	pʰ	ᵚi	∅	pʰ	iɪ	∅	pʰ	ji	∅	pʰ	ji	∅	pʰ	i	∅
世	5611069	departing	ɕ	iᴇi	∅	ɕ	iɛi	∅	ɕ	jæi	∅	ɕ	iaj	∅	ɕ	iɛi	∅	ɕ	i̯ɛi	∅
丘	5611072	level	kʰ	ɨu	∅	kʰ	iu	∅	kʰ	iəu	∅	kʰ	uw	∅	kʰ	iu	∅	kʰ	i̯ə̯u	∅
𠀒	5611079	level	ɦ	uo	∅	ɦ	uo	∅	ɣ	o	∅	ɦ	ɔ	∅	ɣ	o	∅	ɣ	uo	∅
